Date,(Multiple Items)
,
Row Labels,Average of StringencyIndex
US_AK,31.94
US_AL,
US_AR,11.11
US_AZ,11.11
US_CA,25
US_CO,21.76
US_CT,19.44
US_DC,
US_DE,
US_FL,11.11
US_GA,
US_HI,
US_IA,
US_ID,18.52
US_IL,11.11
US_IN,16.67
US_KS,
US_KY,
US_LA,
US_MA,
US_MD,12.96
US_ME,
US_MI,11.11
US_MN,22.22
US_MO,
US_MS,
US_MT,24.07
US_NC,20.37
US_ND,32.41
US_NE,
US_NH,
US_NJ,11.11
US_NM,
US_NV,
US_NY,28.7
US_OH,
US_OK,32.41
US_OR,
US_PA,11.11
US_RI,
US_SC,21.3
US_SD,9.26
US_TN,
US_TX,29.63
US_UT,
US_VA,
US_VT,11.11
US_WA,
US_WI,11.11
US_WV,
US_WY,26.85
(blank),
Grand Total,19.44034483